#time =  3.6000071E+02
#  y    y+    Umean    Tmean
  9.877401392E-01  1.760623171E+02  1.821732597E+01              NaN
  1.012259861E+00  1.804328988E+02  1.821602242E+01              NaN
  1.036765324E+00  1.848009390E+02  1.820729119E+01              NaN
  1.061228080E+00  1.891613667E+02  1.819115366E+01              NaN
  1.085619876E+00  1.935091460E+02  1.816776568E+01              NaN
  1.109912789E+00  1.978392996E+02  1.813735606E+01              NaN
  1.134079349E+00  2.021469312E+02  1.810020467E+01              NaN
  1.158092666E+00  2.064272475E+02  1.805663457E+01              NaN
  1.181926541E+00  2.106755787E+02  1.800699839E+01              NaN
  1.205555580E+00  2.148873984E+02  1.795164857E+01              NaN
  1.228955296E+00  2.190583418E+02  1.789098878E+01              NaN
  1.252102202E+00  2.231842223E+02  1.782538418E+01              NaN
  1.274973897E+00  2.272610472E+02  1.775527486E+01              NaN
  1.297549141E+00  2.312850306E+02  1.768122787E+01              NaN
  1.319807924E+00  2.352526053E+02  1.760384344E+01              NaN
  1.341731514E+00  2.391604329E+02  1.752364105E+01              NaN
  1.363302510E+00  2.430054112E+02  1.744101092E+01              NaN
  1.384504870E+00  2.467846812E+02  1.735628374E+01              NaN
  1.405323939E+00  2.504956305E+02  1.726976011E+01              NaN
  1.425746463E+00  2.541358966E+02  1.718160951E+01              NaN
  1.445760591E+00  2.577033669E+02  1.709211500E+01              NaN
  1.465355871E+00  2.611961788E+02  1.700155744E+01              NaN
  1.484523240E+00  2.646127164E+02  1.691011842E+01              NaN
  1.503254997E+00  2.679516073E+02  1.681783090E+01              NaN
  1.521544779E+00  2.712117172E+02  1.672460234E+01              NaN
  1.539387522E+00  2.743921434E+02  1.663031317E+01              NaN
  1.556779421E+00  2.774922078E+02  1.653495571E+01              NaN
  1.573717882E+00  2.805114481E+02  1.643848701E+01              NaN
  1.590201474E+00  2.834496089E+02  1.634097073E+01              NaN
  1.606229869E+00  2.863066320E+02  1.624253501E+01              NaN
  1.621803788E+00  2.890826457E+02  1.614333227E+01              NaN
  1.636924936E+00  2.917779542E+02  1.604348383E+01              NaN
  1.651595946E+00  2.943930267E+02  1.594303543E+01              NaN
  1.665820312E+00  2.969284859E+02  1.584194963E+01              NaN
  1.679602324E+00  2.993850966E+02  1.574014121E+01              NaN
  1.692947008E+00  3.017637546E+02  1.563737175E+01              NaN
  1.705860061E+00  3.040654754E+02  1.553326948E+01              NaN
  1.718347789E+00  3.062913829E+02  1.542740810E+01              NaN
  1.730417045E+00  3.084426991E+02  1.531935108E+01              NaN
  1.742075175E+00  3.105207327E+02  1.520867191E+01              NaN
  1.753329953E+00  3.125268700E+02  1.509494388E+01              NaN
  1.764189532E+00  3.144625641E+02  1.497773005E+01              NaN
  1.774662392E+00  3.163293262E+02  1.485658646E+01              NaN
  1.784757283E+00  3.181287164E+02  1.473105856E+01              NaN
  1.794483187E+00  3.198623355E+02  1.460065126E+01              NaN
  1.803849265E+00  3.215318166E+02  1.446488511E+01              NaN
  1.812864823E+00  3.231388182E+02  1.432326327E+01              NaN
  1.821539265E+00  3.246850167E+02  1.417527109E+01              NaN
  1.829882062E+00  3.261721003E+02  1.402038105E+01              NaN
  1.837902717E+00  3.276017630E+02  1.385805842E+01              NaN
  1.845610735E+00  3.289756988E+02  1.368776660E+01              NaN
  1.853015593E+00  3.302955968E+02  1.350896920E+01              NaN
  1.860126713E+00  3.315631370E+02  1.332112703E+01              NaN
  1.866953443E+00  3.327799854E+02  1.312372446E+01              NaN
  1.873505034E+00  3.339477908E+02  1.291627981E+01              NaN
  1.879790620E+00  3.350681814E+02  1.269835097E+01              NaN
  1.885819201E+00  3.361427616E+02  1.246954356E+01              NaN
  1.891599633E+00  3.371731097E+02  1.222952136E+01              NaN
  1.897140608E+00  3.381607754E+02  1.197801792E+01              NaN
  1.902450651E+00  3.391072777E+02  1.171485551E+01              NaN
  1.907538102E+00  3.400141037E+02  1.143996137E+01              NaN
  1.912411116E+00  3.408827068E+02  1.115338910E+01              NaN
  1.917077652E+00  3.417145057E+02  1.085532816E+01              NaN
  1.921545469E+00  3.425108834E+02  1.054612168E+01              NaN
  1.925822122E+00  3.432731866E+02  1.022627774E+01              NaN
  1.929914960E+00  3.440027251E+02  9.896470114E+00              NaN
  1.933831122E+00  3.447007716E+02  9.557532910E+00              NaN
  1.937577538E+00  3.453685613E+02  9.210451164E+00              NaN
  1.941160929E+00  3.460072922E+02  8.856371421E+00              NaN
  1.944587805E+00  3.466181247E+02  8.496543810E+00              NaN
  1.947864471E+00  3.472021825E+02  8.132330343E+00              NaN
  1.950997022E+00  3.477605522E+02  7.765173347E+00              NaN
  1.953991352E+00  3.482942844E+02  7.396554566E+00              NaN
  1.956853153E+00  3.488043936E+02  7.027965197E+00              NaN
  1.959587920E+00  3.492918592E+02  6.660878572E+00              NaN
